,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
16,20,RL,,11241,2,0,3,Lvl,4.0,CulDSac,3,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,No,5,578.0,1,0.0,426.0,1004.0,GasA,5,Y,SBrkr,1004,0,0,1004,1.0,0.0,1,0,2,1,3.0,5,8.0,1,3,Attchd,1970.0,Fin,2.0,480.0,3,3,2,0,0,0,0,0,0,0,0,Shed,700,3,2010,WD,Normal
17,90,RL,72.0,10791,2,0,4,Lvl,4.0,Inside,3,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,Slab,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,3,Y,SBrkr,1296,0,0,1296,0.0,0.0,2,0,2,2,3.0,6,8.0,0,0,CarPort,1967.0,Unf,2.0,516.0,3,3,2,0,0,0,0,0,0,0,0,Shed,500,10,2006,WD,Normal
18,20,RL,66.0,13695,2,0,4,Lvl,4.0,Inside,3,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,No,6,646.0,1,0.0,468.0,1114.0,GasA,5,Y,SBrkr,1114,0,0,1114,1.0,0.0,1,1,3,1,4.0,6,8.0,0,0,Detchd,2004.0,Unf,2.0,576.0,3,3,2,0,102,0,0,0,0,0,0,None,0,6,2008,WD,Normal
19,20,RL,70.0,7560,2,0,4,Lvl,4.0,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,3,3,CBlock,3,3,No,2,504.0,1,0.0,525.0,1029.0,GasA,3,Y,SBrkr,1339,0,0,1339,0.0,0.0,1,0,3,1,3.0,6,7.0,0,0,Attchd,1958.0,Unf,1.0,294.0,3,3,2,0,0,0,0,0,0,0,3,None,0,5,2009,COD,Abnorml
20,60,RL,101.0,14215,2,0,3,Lvl,4.0,Corner,3,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,5,3,2,1,0.0,1,0.0,1158.0,1158.0,GasA,5,Y,SBrkr,1158,1218,0,2376,0.0,0.0,3,1,4,1,4.0,9,8.0,1,4,BuiltIn,2005.0,RFn,3.0,853.0,3,3,2,240,154,0,0,0,0,0,0,None,0,11,2006,New,Partial
21,45,RM,57.0,7449,2,1,4,Bnk,4.0,Inside,3,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,No,1,0.0,1,0.0,637.0,637.0,GasA,5,Y,FuseF,1108,0,0,1108,0.0,0.0,1,0,3,1,4.0,6,8.0,1,4,Attchd,1930.0,Unf,1.0,280.0,3,3,0,0,0,205,0,0,0,0,4,None,0,6,2007,WD,Normal
22,20,RL,75.0,9742,2,0,4,Lvl,4.0,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,4,3,PConc,4,3,No,1,0.0,1,0.0,1777.0,1777.0,GasA,5,Y,SBrkr,1795,0,0,1795,0.0,0.0,2,0,3,1,4.0,7,8.0,1,4,Attchd,2002.0,RFn,2.0,534.0,3,3,2,171,159,0,0,0,0,0,0,None,0,9,2008,WD,Normal
23,120,RM,44.0,4224,2,0,4,Lvl,4.0,Inside,3,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,4,3,No,6,840.0,1,0.0,200.0,1040.0,GasA,3,Y,SBrkr,1060,0,0,1060,1.0,0.0,1,0,3,1,3.0,6,8.0,1,3,Attchd,1976.0,Unf,2.0,572.0,3,3,2,100,110,0,0,0,0,0,0,None,0,6,2007,WD,Normal
24,20,RL,,8246,2,0,3,Lvl,4.0,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,3,4,CBlock,3,3,1,3,188.0,5,668.0,204.0,1060.0,GasA,5,Y,SBrkr,1060,0,0,1060,1.0,0.0,1,0,3,1,4.0,6,8.0,1,3,Attchd,1968.0,Unf,1.0,270.0,3,3,2,406,90,0,0,0,0,0,3,None,0,5,2010,WD,Normal
25,20,RL,110.0,14230,2,0,4,Lvl,4.0,Corner,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,4,3,PConc,4,3,No,1,0.0,1,0.0,1566.0,1566.0,GasA,5,Y,SBrkr,1600,0,0,1600,0.0,0.0,2,0,3,1,4.0,7,8.0,1,4,Attchd,2007.0,RFn,3.0,890.0,3,3,2,0,56,0,0,0,0,0,0,None,0,7,2009,WD,Normal
26,20,RL,60.0,7200,2,0,4,Lvl,4.0,Corner,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,4,234.0,3,486.0,180.0,900.0,GasA,3,Y,SBrkr,900,0,0,900,0.0,1.0,1,0,3,1,4.0,5,8.0,0,0,Detchd,2005.0,Unf,2.0,576.0,3,3,2,222,32,0,0,0,0,0,0,None,0,5,2010,WD,Normal
27,20,RL,98.0,11478,2,0,4,Lvl,4.0,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5,3,No,6,1218.0,1,0.0,486.0,1704.0,GasA,5,Y,SBrkr,1704,0,0,1704,1.0,0.0,2,0,3,1,4.0,7,8.0,1,4,Attchd,2008.0,RFn,3.0,772.0,3,3,2,0,50,0,0,0,0,0,0,None,0,5,2010,WD,Normal
28,20,RL,47.0,16321,2,0,3,Lvl,4.0,CulDSac,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,3,4,1277.0,1,0.0,207.0,1484.0,GasA,3,Y,SBrkr,1600,0,0,1600,1.0,0.0,1,0,2,1,3.0,6,8.0,2,4,Attchd,1957.0,RFn,1.0,319.0,3,3,2,288,258,0,0,0,0,0,0,None,0,12,2006,WD,Normal
29,30,RM,60.0,6324,2,0,3,Lvl,4.0,Inside,3,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,No,1,0.0,1,0.0,520.0,520.0,GasA,2,N,SBrkr,520,0,0,520,0.0,0.0,1,0,1,1,2.0,4,8.0,0,0,Detchd,1920.0,Unf,1.0,240.0,2,3,2,49,0,87,0,0,0,0,0,None,0,5,2008,WD,Normal
30,70,C (all),50.0,8500,2,2,4,Lvl,4.0,Inside,3,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,3,2,BrkTil,3,3,No,1,0.0,1,0.0,649.0,649.0,GasA,3,N,SBrkr,649,668,0,1317,0.0,0.0,1,0,3,1,3.0,6,8.0,0,0,Detchd,1920.0,Unf,1.0,250.0,3,2,0,0,54,172,0,0,0,0,3,None,0,7,2008,WD,Normal
31,20,RL,,8544,2,0,3,Lvl,4.0,CulDSac,3,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,No,1,0.0,1,0.0,1228.0,1228.0,GasA,4,Y,SBrkr,1228,0,0,1228,0.0,0.0,1,1,3,1,4.0,6,8.0,0,0,Attchd,1966.0,Unf,1.0,271.0,3,3,2,0,65,0,0,0,0,0,3,None,0,6,2008,WD,Normal
32,20,RL,85.0,11049,2,0,4,Lvl,4.0,Corner,3,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,2,1,0.0,1,0.0,1234.0,1234.0,GasA,5,Y,SBrkr,1234,0,0,1234,0.0,0.0,2,0,3,1,4.0,7,8.0,0,0,Attchd,2007.0,RFn,2.0,484.0,3,3,2,0,30,0,0,0,0,0,0,None,0,1,2008,WD,Normal
33,20,RL,70.0,10552,2,0,3,Lvl,4.0,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,3,3,No,3,1018.0,1,0.0,380.0,1398.0,GasA,4,Y,SBrkr,1700,0,0,1700,0.0,1.0,1,1,4,1,4.0,6,8.0,1,4,Attchd,1959.0,RFn,2.0,447.0,3,3,2,0,38,0,0,0,0,0,0,None,0,4,2010,WD,Normal
34,120,RL,60.0,7313,2,0,4,Lvl,4.0,Inside,3,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,5,3,PConc,5,3,No,6,1153.0,1,0.0,408.0,1561.0,GasA,5,Y,SBrkr,1561,0,0,1561,1.0,0.0,2,0,2,1,5.0,6,8.0,1,4,Attchd,2005.0,Fin,2.0,556.0,3,3,2,203,47,0,0,0,0,0,0,None,0,8,2007,WD,Normal
35,60,RL,108.0,13418,2,0,4,Lvl,4.0,Inside,3,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,4,3,PConc,5,3,2,1,0.0,1,0.0,1117.0,1117.0,GasA,5,Y,SBrkr,1132,1320,0,2452,0.0,0.0,3,1,4,1,4.0,9,8.0,1,4,BuiltIn,2004.0,Fin,3.0,691.0,3,3,2,113,32,0,0,0,0,0,0,None,0,9,2006,WD,Normal
36,20,RL,112.0,10859,2,0,4,Lvl,4.0,Corner,3,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,No,1,0.0,1,0.0,1097.0,1097.0,GasA,5,Y,SBrkr,1097,0,0,1097,0.0,0.0,1,1,3,1,3.0,6,8.0,0,0,Attchd,1995.0,Unf,2.0,672.0,3,3,2,392,64,0,0,0,0,0,0,None,0,6,2009,WD,Normal
37,20,RL,74.0,8532,2,0,4,Lvl,4.0,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,3,3,CBlock,3,3,No,3,1213.0,1,0.0,84.0,1297.0,GasA,4,Y,SBrkr,1297,0,0,1297,0.0,1.0,1,0,3,1,3.0,5,8.0,1,3,Attchd,1954.0,Fin,2.0,498.0,3,3,2,0,0,0,0,0,0,0,0,None,0,10,2009,WD,Normal
38,20,RL,68.0,7922,2,0,4,Lvl,4.0,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,No,6,731.0,1,0.0,326.0,1057.0,GasA,3,Y,SBrkr,1057,0,0,1057,1.0,0.0,1,0,3,1,4.0,5,8.0,0,0,Detchd,1953.0,Unf,1.0,246.0,3,3,2,0,52,0,0,0,0,0,0,None,0,1,2010,WD,Abnorml
39,90,RL,65.0,6040,2,0,4,Lvl,4.0,Inside,3,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,3,3,PConc,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,3,N,FuseP,1152,0,0,1152,0.0,0.0,2,0,2,2,2.0,6,8.0,0,0,None,,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,None,0,6,2008,WD,AdjLand
40,20,RL,84.0,8658,2,0,4,Lvl,4.0,Inside,3,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,3,3,CBlock,3,3,No,3,643.0,1,0.0,445.0,1088.0,GasA,5,Y,SBrkr,1324,0,0,1324,0.0,0.0,2,0,3,1,3.0,6,8.0,1,3,Attchd,1965.0,RFn,2.0,440.0,3,3,2,0,138,0,0,0,0,0,2,None,0,12,2006,WD,Abnorml
41,20,RL,115.0,16905,2,0,4,Lvl,4.0,Inside,3,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,3,4,967.0,1,0.0,383.0,1350.0,GasA,4,Y,SBrkr,1328,0,0,1328,0.0,1.0,1,1,2,1,3.0,5,8.0,2,4,Attchd,1959.0,RFn,1.0,308.0,3,3,1,0,104,0,0,0,0,0,0,None,0,7,2007,WD,Normal
42,85,RL,,9180,2,0,3,Lvl,4.0,CulDSac,3,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,4,3,2,5,747.0,2,93.0,0.0,840.0,GasA,4,Y,SBrkr,884,0,0,884,1.0,0.0,1,0,2,1,4.0,5,8.0,0,0,Attchd,1983.0,RFn,2.0,504.0,3,4,2,240,0,0,0,0,0,0,3,None,0,12,2007,WD,Normal
43,20,RL,,9200,2,0,3,Lvl,4.0,CulDSac,3,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4,3,2,2,280.0,4,491.0,167.0,938.0,GasA,3,Y,SBrkr,938,0,0,938,1.0,0.0,1,0,3,1,3.0,5,8.0,0,0,Detchd,1977.0,Unf,1.0,308.0,3,3,2,145,0,0,0,0,0,0,3,None,0,7,2008,WD,Normal
44,20,RL,70.0,7945,2,0,4,Lvl,4.0,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,3,CBlock,3,3,No,5,179.0,4,506.0,465.0,1150.0,GasA,5,Y,FuseA,1150,0,0,1150,1.0,0.0,1,0,3,1,3.0,6,8.0,0,0,Attchd,1959.0,RFn,1.0,300.0,3,3,2,0,0,0,0,0,0,0,0,None,0,5,2006,WD,Normal
45,120,RL,61.0,7658,2,0,4,Lvl,4.0,Inside,3,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,5,3,PConc,5,3,No,6,456.0,1,0.0,1296.0,1752.0,GasA,5,Y,SBrkr,1752,0,0,1752,1.0,0.0,2,0,2,1,5.0,6,8.0,1,4,Attchd,2005.0,RFn,2.0,576.0,3,3,2,196,82,0,0,0,0,0,0,None,0,2,2010,WD,Normal
46,50,RL,48.0,12822,2,0,3,Lvl,4.0,CulDSac,3,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5,3,No,6,1351.0,1,0.0,83.0,1434.0,GasA,5,Y,SBrkr,1518,631,0,2149,1.0,0.0,1,1,1,1,4.0,6,8.0,1,5,Attchd,2003.0,RFn,2.0,670.0,3,3,2,168,43,0,0,198,0,0,0,None,0,8,2009,WD,Abnorml
47,20,FV,84.0,11096,2,0,4,Lvl,4.0,Inside,3,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,2,6,24.0,1,0.0,1632.0,1656.0,GasA,5,Y,SBrkr,1656,0,0,1656,0.0,0.0,2,0,3,1,4.0,7,8.0,0,0,Attchd,2006.0,RFn,3.0,826.0,3,3,2,0,146,0,0,0,0,0,0,None,0,7,2007,WD,Normal
48,190,RM,33.0,4456,2,0,4,Lvl,4.0,Inside,3,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,No,1,0.0,1,0.0,736.0,736.0,GasA,4,Y,SBrkr,736,716,0,1452,0.0,0.0,2,0,2,3,3.0,8,8.0,0,0,None,,None,0.0,0.0,0,0,0,0,0,102,0,0,0,0,0,None,0,6,2009,New,Partial
49,20,RL,66.0,7742,2,0,4,Lvl,4.0,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,No,4,763.0,1,0.0,192.0,955.0,GasA,5,Y,SBrkr,955,0,0,955,1.0,0.0,1,0,3,1,3.0,6,8.0,0,0,Attchd,1966.0,Unf,1.0,386.0,3,3,2,0,0,0,0,0,0,0,3,None,0,1,2007,WD,Normal
50,60,RL,,13869,2,0,2,Lvl,4.0,Corner,3,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,2,6,182.0,1,0.0,612.0,794.0,GasA,4,Y,SBrkr,794,676,0,1470,0.0,1.0,2,0,3,1,3.0,6,8.0,0,0,Attchd,1997.0,Fin,2.0,388.0,3,3,2,0,75,0,0,0,0,0,0,None,0,7,2007,WD,Normal
51,50,RM,52.0,6240,2,0,4,Lvl,4.0,Inside,3,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,No,1,0.0,1,0.0,816.0,816.0,GasA,3,Y,SBrkr,816,0,360,1176,0.0,0.0,1,0,3,1,3.0,6,8.0,1,4,Detchd,1985.0,Unf,2.0,528.0,3,3,2,112,0,0,0,0,0,0,3,Shed,400,9,2006,WD,Normal
